index,localx,gap,realv,fid
242,27,109.5,10,152
242,37,108,7,153
242,44,108.5,6,154
242,50,107,9,155
242,59,107.5,7,156
242,66,108,9,157
242,75,106.5,7,158
242,82,106.5,8,159
242,90,105.5,7,160
242,97,106.5,9,161
242,106,105.5,7,162
242,113,105,7,163
242,120,107,9,164
242,129,105.5,8,165
242,137,104,8,166
247,736,99.5,2,158
247,738,106,8,159
247,746,106.5,8,160
247,754,105,7,161
247,761,105.5,8,162
247,769,104,7,163
247,776,104.5,7,164
247,783,104.5,8,165
247,791,103,7,166
247,798,103.5,7,167
247,805,103.5,7,168
247,812,104.5,7,169
247,819,104,8,170
249,94,347,7,159
249,101,347.5,7,160
249,108,346,9,161
249,117,350.5,6,162
249,123,344,7,163
249,130,342,7,164
249,137,343.5,8,165
249,145,341.5,4,166
249,149,338.5,5,167
249,154,336,6,168
249,160,335.5,8,169
249,168,337.5,8,170
249,184,336.5,11,172
397,751,89,9,249
397,760,87.5,6,250
397,766,89,6,251
397,772,89,8,252
397,780,87.5,7,253
397,787,89,8,254
397,795,87.5,7,255
397,802,89,8,256
397,810,90,7,257
397,817,89.5,7,258
397,824,89.5,7,259
397,831,89,7,260
429,241,65.5,4,264
429,245,69,5,265
429,250,70,5,266
429,255,72,7,267
429,262,68,5,268
429,267,68.5,6,269
429,273,68.5,9,270
429,282,64.5,4,271
429,286,67,5,272
429,291,68.5,5,273
429,296,70,4,274
429,300,72.5,8,275
429,308,69,4,276
429,312,71,6,277
429,318,72,6,278
429,324,70,6,279
429,330,70.5,5,280
429,335,71,6,281
429,341,71,6,282
429,347,71,6,283
429,353,70,6,284
429,359,70,6,285
429,365,71.5,6,286
429,371,70,5,287
429,376,71.5,6,288
429,382,70.5,6,289
429,388,71.5,6,290
462,552,71,5,286
462,557,73,6,287
462,563,72.5,7,288
462,570,74,6,289
462,576,72.5,8,290
462,584,72.5,5,291
462,589,73.5,7,292
462,596,71.5,7,293
462,603,72.5,7,294
462,610,71.5,7,295
462,617,75,17,296
463,521,22,7,287
463,528,27,6,288
463,534,22,1,289
463,535,28,10,290
